#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	0.000000	0.727273	0.000000
24.451600	2.293076	1.000000	0.000000	0.909091	0.000000
24.207100	2.363262	2.000000	0.000000	0.727273	0.000000
23.985100	2.429493	3.000000	0.000000	1.272727	0.000000
23.765100	2.497591	4.000000	0.000000	1.272727	0.000000
23.566900	2.561137	5.000000	0.000000	0.909091	0.000000
23.331300	2.639511	6.000000	0.000000	2.644156	0.000000
22.962900	2.768599	7.000000	0.000000	5.537955	2.000000
22.752300	2.846193	8.000000	0.000000	3.627378	2.000000
22.542700	2.926324	9.000000	0.000000	5.966921	3.000000
22.113600	3.100001	10.000000	0.000000	14.555729	2.645066
22.002700	3.147113	11.000000	0.727273	22.415037	2.648979
21.910800	3.186879	12.000000	3.025325	13.359767	2.830945
21.837500	3.219078	13.000000	3.000000	10.613783	3.141233
21.764500	3.251578	14.000000	2.820779	9.693883	3.454567
21.385000	3.427776	15.000000	8.756167	2.054545	3.978811
21.331400	3.453680	16.000000	5.540516	2.899725	4.162076
21.206700	3.514965	17.000000	7.406498	2.464935	6.519421
21.135700	3.550507	18.000000	8.682539	3.490909	5.058017
21.012200	3.613480	19.000000	9.439338	2.902506	10.368679
20.941900	3.649993	20.000000	9.334803	2.802020	11.862341
