#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	0.000000	0.658937	0.000000
24.451600	2.293076	1.000000	0.000000	0.817368	0.000000
24.207100	2.363262	2.000000	0.000000	0.667319	0.000000
23.985100	2.429493	3.000000	0.000000	1.133552	0.000000
23.765100	2.497591	4.000000	0.000000	1.143258	0.000000
23.566900	2.561137	5.000000	0.000000	0.812646	0.000000
23.331300	2.639511	6.000000	0.000000	2.206015	0.000000
22.962900	2.768599	7.000000	0.000000	5.124790	1.748746
22.752300	2.846193	8.000000	0.000000	3.637083	1.773575
22.542700	2.926324	9.000000	0.000000	5.121662	2.412405
22.113600	3.100001	10.000000	0.000000	8.290965	2.691358
22.002700	3.147113	11.000000	0.809407	9.649598	2.722308
21.910800	3.186879	12.000000	2.866434	7.992555	2.992189
21.837500	3.219078	13.000000	2.876694	7.679882	3.266491
21.764500	3.251578	14.000000	2.790276	6.481051	3.537861
21.385000	3.427776	15.000000	6.159456	2.176239	3.949259
21.331400	3.453680	16.000000	4.629629	2.994951	4.516061
21.206700	3.514965	17.000000	5.618549	2.312693	5.749995
21.135700	3.550507	18.000000	6.290382	3.574187	4.840999
21.012200	3.613480	19.000000	7.977037	3.043891	6.822951
20.941900	3.649993	20.000000	7.823785	2.925600	7.117746
