#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	0.000000	0.465939	0.000000
24.451600	2.293076	1.000000	0.000000	0.577967	0.000000
24.207100	2.363262	2.000000	0.000000	0.471866	0.000000
23.985100	2.429493	3.000000	0.000000	0.801542	0.000000
23.765100	2.497591	4.000000	0.000000	0.808406	0.000000
23.566900	2.561137	5.000000	0.000000	0.574627	0.000000
23.331300	2.639511	6.000000	0.000000	1.613377	0.000000
22.962900	2.768599	7.000000	0.000000	4.378394	1.236550
22.752300	2.846193	8.000000	0.000000	3.345507	1.254107
22.542700	2.926324	9.000000	0.000000	4.323800	1.705828
22.113600	3.100001	10.000000	0.000000	6.509838	2.344479
22.002700	3.147113	11.000000	0.572337	7.407484	2.461393
21.910800	3.186879	12.000000	2.080715	6.219613	2.707397
21.837500	3.219078	13.000000	2.062005	6.153237	2.906151
21.764500	3.251578	14.000000	2.040428	5.068136	3.041286
21.385000	3.427776	15.000000	4.782378	1.676553	3.613530
21.331400	3.453680	16.000000	3.587292	2.307268	4.426114
21.206700	3.514965	17.000000	4.612896	1.762255	4.922365
21.135700	3.550507	18.000000	5.194649	2.742844	4.681675
21.012200	3.613480	19.000000	6.838913	2.409190	5.589644
20.941900	3.649993	20.000000	6.679018	2.287921	5.503146
