#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	0.000000	0.727273	0.000000
24.451600	2.293076	1.000000	0.000000	0.909091	0.000000
24.207100	2.363262	2.000000	0.000000	0.727273	0.000000
23.985100	2.429493	3.000000	0.000000	1.272727	0.000000
23.765100	2.497591	4.000000	0.000000	1.272727	0.000000
23.566900	2.561137	5.000000	0.000000	0.909091	0.000000
23.331300	2.639511	6.000000	0.000000	2.909091	0.000000
22.962900	2.768599	7.000000	0.000000	7.727273	2.000000
22.752300	2.846193	8.000000	0.000000	5.909091	2.000000
22.542700	2.926324	9.000000	0.000000	9.090909	3.000000
22.113600	3.100001	10.000000	0.000000	23.545455	3.363636
22.002700	3.147113	11.000000	0.727273	35.909091	3.636364
21.910800	3.186879	12.000000	3.181818	21.454545	4.181818
21.837500	3.219078	13.000000	3.000000	18.545455	4.818182
21.764500	3.251578	14.000000	2.909091	16.454545	5.363636
21.385000	3.427776	15.000000	14.363636	2.272727	6.090909
21.331400	3.453680	16.000000	8.727273	3.454545	6.909091
21.206700	3.514965	17.000000	12.909091	2.909091	12.000000
21.135700	3.550507	18.000000	15.272727	4.000000	8.545455
21.012200	3.613480	19.000000	21.181818	3.636364	19.272727
20.941900	3.649993	20.000000	20.272727	3.363636	20.363636
