#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	0.000000	0.000000	0.000000
24.451600	2.293076	1.000000	0.000000	1.810500	0.000000
24.207100	2.363262	2.000000	0.000000	1.945639	0.000000
23.985100	2.429493	3.000000	0.000000	0.000000	0.000000
23.765100	2.497591	4.000000	0.000000	0.000000	0.000000
23.566900	2.561137	5.000000	0.000000	0.000000	0.000000
23.331300	2.639511	6.000000	0.000000	2.280714	0.000000
22.962900	2.768599	7.000000	0.000000	5.279219	1.697269
22.752300	2.846193	8.000000	0.000000	4.020293	1.709527
22.542700	2.926324	9.000000	0.000000	4.855197	2.364804
22.113600	3.100001	10.000000	0.000000	8.952698	2.465760
22.002700	3.147113	11.000000	0.000000	13.008197	2.610688
21.910800	3.186879	12.000000	2.803566	8.077243	3.298339
21.837500	3.219078	13.000000	2.927154	8.785387	3.565917
21.764500	3.251578	14.000000	2.935989	9.950062	3.521388
21.385000	3.427776	15.000000	6.030257	2.146269	4.314132
21.331400	3.453680	16.000000	4.848523	2.100210	4.199193
21.206700	3.514965	17.000000	5.865324	0.000000	4.661769
21.135700	3.550507	18.000000	5.947412	3.542302	4.340957
21.012200	3.613480	19.000000	7.783621	3.430288	6.951210
20.941900	3.649993	20.000000	7.729298	3.191850	5.178714
