#Boxe      	Density   	Pressure  	4-4       	5-5       	6-6       
24.616000	2.247438	0.000000	0.000000	0.000000	0.000000
24.451600	2.293076	1.000000	0.000000	1.280217	0.000000
24.207100	2.363262	2.000000	0.000000	1.375775	0.000000
23.985100	2.429493	3.000000	0.000000	0.000000	0.000000
23.765100	2.497591	4.000000	0.000000	0.000000	0.000000
23.566900	2.561137	5.000000	0.000000	0.000000	0.000000
23.331300	2.639511	6.000000	0.000000	1.612708	0.000000
22.962900	2.768599	7.000000	0.000000	4.570713	1.200150
22.752300	2.846193	8.000000	0.000000	4.143243	1.208818
22.542700	2.926324	9.000000	0.000000	3.839404	1.672169
22.113600	3.100001	10.000000	0.000000	7.322986	2.239869
22.002700	3.147113	11.000000	0.000000	9.308956	2.186389
21.910800	3.186879	12.000000	1.982420	6.464899	2.982091
21.837500	3.219078	13.000000	2.069810	6.864749	3.077833
21.764500	3.251578	14.000000	2.148442	7.957184	2.997318
21.385000	3.427776	15.000000	4.848370	1.690516	4.178676
21.331400	3.453680	16.000000	3.923483	1.671460	4.538836
21.206700	3.514965	17.000000	4.968990	0.000000	3.906851
21.135700	3.550507	18.000000	4.848902	2.880141	4.440624
21.012200	3.613480	19.000000	6.744552	2.787891	5.497949
20.941900	3.649993	20.000000	6.733488	2.750880	4.139789
